pool_size,n,num_grids,time_s
2,20,5000,1.1930548749999996
2,20,7500,1.6221720000000008
2,20,8000,1.706069750000001
2,20,10000,2.070904582999999
2,20,20000,3.9042460000000005
2,20,25000,4.901107124999999
2,20,40000,7.699008833000001
2,20,50000,9.709877083999999
2,20,75000,14.097153374999998
2,20,80000,15.067471833000006
2,20,100000,19.013737250000005
2,25,5000,1.2436325839999967
2,25,7500,1.771106875000001
2,25,8000,1.8511466249999984
2,25,10000,2.3060582499999924
2,25,20000,4.37058966699999
2,25,25000,5.401267915999995
2,25,40000,8.433470375000013
2,25,50000,10.579036041999998
2,25,75000,15.740479250000007
2,25,80000,16.734186790999985
2,25,100000,21.284311583000004
2,40,5000,1.578489583000021
2,40,7500,2.2608301250000125
2,40,8000,2.3655817080000077
2,40,10000,2.9382156670000086
2,40,20000,5.6506379999999865
2,40,25000,6.962323416999993
2,40,40000,11.161945583000005
2,40,50000,13.749825958000002
2,40,75000,20.95499566700002
2,40,80000,21.940197791999992
2,40,100000,27.315169583
2,50,5000,1.7653378330000464
2,50,7500,2.5554507920000447
2,50,8000,2.73935104200001
2,50,10000,3.3892515840000215
2,50,20000,6.431301957999949
2,50,25000,8.01528237499997
2,50,40000,12.832685416000004
2,50,50000,16.312385957999993
2,50,75000,24.049194375000013
2,50,80000,25.86298099999999
2,50,100000,32.16504112499996
2,75,5000,2.311645791999979
2,75,7500,3.37198508299997
2,75,8000,3.59059554199996
2,75,10000,4.494182542000033
2,75,20000,8.730260832999988
2,75,25000,10.798608875000014
2,75,40000,17.27127066700001
2,75,50000,21.322558249999986
2,75,75000,32.09204579200002
2,75,80000,33.809388167000066
2,75,100000,43.06775020800001
2,80,5000,2.4582637500000146
2,80,7500,3.618003250000015
2,80,8000,3.799667999999997
2,80,10000,4.699341749999917
2,80,20000,9.184294582999996
2,80,25000,11.561009000000013
2,80,40000,18.340486958000042
2,80,50000,23.239328541999953
2,80,75000,34.46676675000003
2,80,80000,37.37665804199992
2,80,100000,45.73537291599996
2,100,5000,2.9153266250000343
2,100,7500,4.239017042
2,100,8000,4.57923920799999
2,100,10000,5.698990332999983
2,100,20000,11.472817792
2,100,25000,14.103319292000037
2,100,40000,21.97246437499996
2,100,50000,27.31925687499995
2,100,75000,41.32024387499996
2,100,80000,43.967813999999976
2,100,100000,54.80538262499999
2,200,5000,5.503700084000002
2,200,7500,8.115590249999968
2,200,8000,8.695561624999982
2,200,10000,10.732290124999963
2,200,20000,21.56597366699998
2,200,25000,26.528116582999928
2,200,40000,42.985508582999955
2,200,50000,53.53391670799988
2,200,75000,79.7432489580001
2,200,80000,85.91771099999983
2,200,100000,105.96596287500006
2,250,5000,6.7466947499999605
2,250,7500,9.985717208000096
2,250,8000,10.518414624999878
2,250,10000,13.23198433399989
2,250,20000,26.072439499999973
2,250,25000,33.01695704200006
2,250,40000,54.197876999999835
2,250,50000,66.62322787500011
2,250,75000,99.84022550000009
2,250,80000,103.70442454099998
2,250,100000,130.29965212499997
2,400,5000,11.573558166999874
2,400,7500,17.07960137500004
2,400,8000,18.26507170800005
2,400,10000,22.913880000000063
2,400,20000,45.33922654200023
2,400,25000,56.04847487500001
2,400,40000,88.68868529100018
2,400,50000,111.80293200000006
2,400,75000,169.45415545800006
2,400,80000,181.9971022499999
2,400,100000,227.02961120900045
2,500,5000,14.834768875000009
2,500,7500,22.217717707999782
2,500,8000,23.489372916999855
2,500,10000,29.87797633299988
2,500,20000,59.061839832999794
2,500,25000,74.3077225840002
2,500,40000,119.27519949999987
2,500,50000,144.27003379100006
2,500,75000,217.57369033399982
2,500,80000,236.1962208340001
2,500,100000,288.5041247080003
4,20,5000,0.6888138750000508
4,20,7500,0.9177865000001475
4,20,8000,0.9670955830006278
4,20,10000,1.1609823329999927
4,20,20000,2.092902624999624
4,20,25000,2.5706035000002885
4,20,40000,4.025403915999959
4,20,50000,4.99709941600031
4,20,75000,7.285890875000405
4,20,80000,7.941464833000282
4,20,100000,10.125521915999343
4,25,5000,0.7637089169993487
4,25,7500,1.054277041000205
4,25,8000,1.0872856670002875
4,25,10000,1.281780209000317
4,25,20000,2.3776531250005064
4,25,25000,2.988562083999568
4,25,40000,4.667297000000872
4,25,50000,5.807336708000548
4,25,75000,8.300124917000176
4,25,80000,8.793097040999783
4,25,100000,11.071941083000638
4,40,5000,0.9358398329995907
4,40,7500,1.2765617919994838
4,40,8000,1.3546120000000883
4,40,10000,1.636721832999683
4,40,20000,3.0306131249999453
4,40,25000,3.7569195000005493
4,40,40000,5.850789582999823
4,40,50000,7.248435583000173
4,40,75000,10.886194875000001
4,40,80000,11.457776666999962
4,40,100000,14.236543541000174
4,50,5000,1.0405879999998433
4,50,7500,1.4500634169999103
4,50,8000,1.5304437920003693
4,50,10000,1.8575109999992492
4,50,20000,3.548953708999761
4,50,25000,4.275012166000124
4,50,40000,6.759207167000568
4,50,50000,8.33200725000006
4,50,75000,12.380735166000704
4,50,80000,13.183985792000385
4,50,100000,16.592295540999658
4,75,5000,1.314844250000533
4,75,7500,1.8721938750004483
4,75,8000,1.9818223750007746
4,75,10000,2.406043832999785
4,75,20000,4.649300375000166
4,75,25000,5.575400249999802
4,75,40000,8.765524458000073
4,75,50000,11.259695832999569
4,75,75000,16.834300125000482
4,75,80000,17.589441665999402
4,75,100000,21.778439707999496
4,80,5000,1.3484893330005434
4,80,7500,1.9168370829993364
4,80,8000,2.0295505000003686
4,80,10000,2.5228643330001432
4,80,20000,4.893551041999672
4,80,25000,6.040778375000627
4,80,40000,9.607051083999977
4,80,50000,11.808949082999789
4,80,75000,17.655465041999378
4,80,80000,18.607427291000022
4,80,100000,23.366996167000252
4,100,5000,1.6193029999994906
4,100,7500,2.3147196249992703
4,100,8000,2.474499959000241
4,100,10000,3.071558333000212
4,100,20000,5.973600958999668
4,100,25000,7.372702832999494
4,100,40000,11.730639458000041
4,100,50000,14.451598833999924
