n,num_grids,time_s
20,5000,1.8394976250001491
20,7500,2.7332397919999494
20,8000,2.9093025000001944
20,10000,3.6391903340008867
20,20000,7.269876917000147
20,25000,9.106492209000862
20,40000,14.520190666999042
20,50000,18.08088024999961
20,75000,27.09427175000019
20,80000,28.824666958000307
20,100000,36.04257150000012
25,5000,2.011960875001023
25,7500,3.027564624999286
25,8000,3.2286099579996517
25,10000,4.044746833000318
25,20000,8.060226917001273
25,25000,10.108958249998977
25,40000,16.1514394170008
25,50000,20.190304875000948
25,75000,30.302152166999804
25,80000,32.36700291700072
25,100000,40.40326875000028
40,5000,2.6503691670004628
40,7500,3.963159667000582
40,8000,4.23428929200054
40,10000,5.280653542000437
40,20000,10.597566249998636
40,25000,13.23745441599931
40,40000,21.185621167000136
40,50000,26.50851183300074
40,75000,39.76128583299942
40,80000,42.43292808300066
40,100000,53.00835920799909
50,5000,3.0628597079994506
50,7500,4.594324041998334
50,8000,4.8958883750001405
50,10000,6.1088230419991305
50,20000,12.223398874999475
50,25000,15.281381040998895
50,40000,24.453940957999293
50,50000,30.561059083000146
50,75000,45.844519374999436
50,80000,48.88426541699846
50,100000,61.13357008299863
75,5000,4.112942915999156
75,7500,6.161209875001077
75,8000,6.568676832999699
75,10000,8.21409387499989
75,20000,16.42209183400155
75,25000,20.511566541999855
75,40000,32.82083995799985
75,50000,41.06007658400085
75,75000,61.579833208999844
75,80000,65.7464651249993
75,100000,82.16797683299956
80,5000,4.363139125000089
80,7500,6.544373041999279
80,8000,6.970031125001697
80,10000,8.743556957999317
80,20000,17.46425129199997
80,25000,21.82293112499974
80,40000,34.99985887500043
80,50000,43.69078412499948
80,75000,65.596491332999
80,80000,69.79584141699888
80,100000,87.28232512499926
100,5000,5.338386708999678
100,7500,8.033054166000511
100,8000,8.559384292000686
100,10000,10.84367929200016
100,20000,22.087244209000346
100,25000,27.32358899999963
100,40000,43.9503232499992
100,50000,54.85940875000051
100,75000,81.96568862499953
100,80000,86.59381508299884
100,100000,109.16776629099877
200,5000,10.488712207999924
200,7500,15.946027874999345
200,8000,16.991902666999522
200,10000,21.253973709001002
200,20000,42.527200667000216
200,25000,53.14542687500034
200,40000,84.90060400000038
200,50000,105.59068616700097
200,75000,157.71251950000078
200,80000,168.7396272090009
200,100000,210.10974895799882
250,5000,12.816175624999232
250,7500,19.260737874999904
250,8000,20.5604067080003
250,10000,25.691884375000882
250,20000,51.492213375000574
250,25000,64.641971250001
250,40000,103.72428654200121
250,50000,129.3863769590007
250,75000,194.00676470799954
250,80000,206.48049466699922
250,100000,258.58372941699963
400,5000,22.315896583999347
400,7500,33.511298416999125
400,8000,35.68276816700018
400,10000,44.67544425000051
400,20000,89.42359629199927
400,25000,111.66291587500018
400,40000,178.4646084169999
400,50000,222.07847695800046
400,75000,333.5882609160017
400,80000,356.79988908299856
400,100000,445.49139220899997
500,5000,28.796429250000074
500,7500,43.1648460840006
500,8000,46.00654245900114
500,10000,57.545004874998995
500,20000,115.22349616700012
500,25000,143.9123956250005
500,40000,229.68633645800037
500,50000,287.2866527499991
500,75000,430.9201559590001
500,80000,459.8310010000023
500,100000,575.1794618339991
